ts,step,dt_ms,tok_per_s,loss,peak_gib,gated_ms
1787729331.759,257,14.8,69017,10.9690,1.52,4.5
1787729331.774,258,14.8,69175,11.0138,1.52,4.6
1787729331.789,259,14.8,69162,10.9819,1.52,4.5
1787729331.804,260,14.8,69200,11.0120,1.52,4.4
1787729331.819,261,14.8,69044,10.9983,1.52,4.2
1787729331.834,262,14.8,69171,10.9915,1.52,4.3
1787729331.848,263,14.6,70330,11.0043,1.52,4.3
1787729331.863,264,14.6,70253,10.9954,1.52,4.3
1787729331.878,265,14.7,69535,10.9725,1.52,4.4
1787729331.893,266,14.8,69368,10.9944,1.52,4.3
1787729331.908,267,14.8,69053,10.9840,1.52,4.2
1787729331.923,268,14.8,69111,10.9759,1.52,4.3
1787729331.938,269,14.8,69095,10.9629,1.52,4.3
1787729331.953,270,14.8,69164,10.9802,1.52,4.2
1787729331.968,271,14.8,69088,10.9805,1.52,4.6
1787729331.983,272,14.8,69068,10.9934,1.52,4.2
1787729331.998,273,14.8,69134,10.9994,1.52,4.3
1787729332.013,274,14.8,69211,11.0059,1.52,4.2
1787729332.028,275,14.8,69144,11.0082,1.52,4.1
1787729332.043,276,14.8,69093,10.9988,1.52,4.4
1787729332.058,277,14.8,69173,10.9685,1.52,4.2
1787729332.073,278,14.8,69133,10.9747,1.52,4.3
1787729332.088,279,14.8,69113,10.9736,1.52,4.4
1787729332.103,280,14.8,69073,10.9736,1.52,4.3
1787729332.118,281,14.8,69086,10.9632,1.52,4.3
1787729332.133,282,15.5,66240,10.9873,1.52,4.1
1787729332.148,283,14.7,69707,10.9868,1.52,4.6
1787729332.163,284,14.6,70255,10.9681,1.52,4.6
1787729332.177,285,14.6,70350,11.0024,1.52,4.3
1787729332.192,286,14.6,69987,10.9523,1.52,4.4
1787729332.207,287,14.6,70252,10.9713,1.52,3.7
1787729332.222,288,14.7,69559,10.9801,1.52,4.4
1787729332.237,289,14.8,69240,10.9688,1.52,4.3
1787729332.252,290,14.8,69171,10.9983,1.52,4.3
1787729332.267,291,14.8,69255,10.9660,1.52,4.2
1787729332.282,292,14.8,69214,10.9722,1.52,4.3
1787729332.297,293,14.8,69231,10.9877,1.52,4.4
1787729332.312,294,14.8,69131,11.0011,1.52,4.4
1787729332.327,295,14.8,69110,10.9774,1.52,4.4
1787729332.342,296,14.8,69322,10.9763,1.52,4.3
1787729332.356,297,14.6,70108,10.9496,1.52,4.4
1787729332.372,298,15.2,67553,10.9680,1.52,4.1
1787729332.387,299,14.8,69158,10.9482,1.52,4.3
1787729332.401,300,14.6,70138,10.9785,1.52,4.3
1787729332.416,301,14.6,70104,10.9965,1.52,4.2
1787729332.431,302,14.6,69923,10.9816,1.52,4.5
1787729332.446,303,14.8,69383,10.9570,1.52,4.4
1787729332.461,304,14.8,69082,11.0098,1.52,4.3
1787729332.476,305,14.8,69120,10.9996,1.52,4.3
1787729332.491,306,14.8,69008,10.9761,1.52,4.3
1787729332.506,307,14.8,69086,11.0145,1.52,4.2
1787729332.521,308,15.0,68456,10.9494,1.52,4.2
1787729332.535,309,14.0,72980,10.9845,1.52,3.7
1787729332.549,310,14.0,73346,10.9604,1.52,3.7
1787729332.563,311,13.9,73445,10.9875,1.52,3.8
1787729332.577,312,13.9,73650,10.9972,1.52,3.8
1787729332.591,313,13.9,73695,10.9631,1.52,3.8
1787729332.605,314,13.9,73644,10.9840,1.52,3.8
1787729332.619,315,14.0,73377,10.9775,1.52,3.8
1787729332.633,316,14.2,72037,11.0124,1.52,3.8
1787729332.648,317,14.1,72488,10.9985,1.52,3.7
1787729332.662,318,14.0,73189,10.9851,1.52,3.7
1787729332.676,319,13.9,73437,10.9748,1.52,3.8
1787729332.690,320,13.9,73534,10.9692,1.52,3.8
1787729332.704,321,13.9,73509,10.9761,1.52,3.8
1787729332.718,322,13.9,73588,10.9624,1.52,3.8
1787729332.732,323,13.9,73579,10.9858,1.52,3.7
1787729332.746,324,14.2,72126,11.0031,1.52,3.8
1787729332.761,325,14.1,72425,10.9790,1.52,3.6
1787729332.775,326,14.0,73117,10.9539,1.52,3.7
1787729332.789,327,14.0,73404,10.9799,1.52,3.8
1787729332.803,328,13.9,73533,10.9529,1.52,3.8
1787729332.817,329,13.9,73412,10.9640,1.52,3.8
1787729332.831,330,13.9,73718,10.9645,1.52,3.8
1787729332.845,331,13.9,73569,10.9941,1.52,3.8
1787729332.859,332,14.2,72090,10.9712,1.52,3.8
1787729332.874,333,14.2,72172,10.9961,1.52,3.7
1787729332.888,334,14.0,73172,10.9640,1.52,3.7
1787729332.902,335,13.9,73664,10.9988,1.52,3.4
1787729332.916,336,13.9,73411,10.9711,1.52,4.0
1787729332.930,337,13.9,73738,11.0139,1.52,3.9
