ts,step,dt_ms,tok_per_s,loss,peak_gib,gated_ms
1787731020.936,266,14.9,68759,10.9936,1.52,0.0
1787731020.951,267,14.9,68781,10.9894,1.52,0.0
1787731020.966,268,14.9,68625,10.9934,1.52,0.0
1787731020.981,269,14.9,68746,10.9623,1.52,0.0
1787731020.996,270,14.9,68822,10.9958,1.52,0.0
1787731021.011,271,14.9,68702,10.9751,1.52,0.0
1787731021.026,272,14.9,68823,10.9813,1.52,0.0
1787731021.041,273,14.9,68866,10.9940,1.52,0.0
1787731021.056,274,14.9,68814,11.0009,1.52,0.0
1787731021.071,275,14.9,68732,10.9985,1.52,0.0
1787731021.087,276,15.5,66122,10.9877,1.52,0.0
1787731021.102,277,14.9,68750,10.9577,1.52,0.0
1787731021.117,278,14.9,68682,10.9645,1.52,0.0
1787731021.132,279,15.0,68423,10.9682,1.52,0.0
1787731021.147,280,14.9,68837,10.9644,1.52,0.0
1787731021.162,281,14.9,68712,10.9805,1.52,0.0
1787731021.177,282,14.9,68776,10.9799,1.52,0.0
1787731021.192,283,14.9,68705,10.9842,1.52,0.0
1787731021.207,284,14.9,68694,10.9708,1.52,0.0
1787731021.222,285,14.9,68593,10.9986,1.52,0.0
1787731021.237,286,15.0,68040,10.9617,1.52,0.0
1787731021.252,287,14.9,68724,10.9782,1.52,0.0
1787731021.267,288,14.9,68684,10.9852,1.52,0.0
1787731021.282,289,14.9,68794,10.9715,1.52,0.0
1787731021.297,290,14.9,68856,10.9853,1.52,0.0
1787731021.312,291,14.9,68932,10.9538,1.52,0.0
1787731021.327,292,14.9,68586,10.9804,1.52,0.0
1787731021.342,293,14.9,68659,10.9733,1.52,0.0
1787731021.357,294,14.9,68569,11.0036,1.52,0.0
1787731021.372,295,14.9,68806,10.9764,1.52,0.0
1787731021.387,296,14.9,68841,10.9774,1.52,0.0
1787731021.402,297,14.9,68625,10.9508,1.52,0.0
1787731021.417,298,15.0,68256,10.9537,1.52,0.0
1787731021.432,299,14.9,68825,10.9568,1.52,0.0
1787731021.447,300,14.9,68641,10.9451,1.52,0.0
1787731021.462,301,14.9,68668,10.9865,1.52,0.0
1787731021.478,302,15.0,68155,11.0047,1.52,0.0
1787731021.493,303,15.0,68259,10.9507,1.52,0.0
1787731021.508,304,14.9,68613,11.0033,1.52,0.0
1787731021.523,305,14.9,68713,10.9977,1.52,0.0
1787731021.538,306,14.9,68758,10.9694,1.52,0.0
1787731021.553,307,14.9,68707,11.0084,1.52,0.0
1787731021.568,308,14.9,68575,10.9734,1.52,0.0
1787731021.583,309,14.9,68656,10.9876,1.52,0.0
1787731021.598,310,14.9,68657,10.9705,1.52,0.0
1787731021.613,311,14.9,68658,10.9903,1.52,0.0
1787731021.628,312,14.9,68674,10.9930,1.52,0.0
1787731021.643,313,14.9,68590,10.9637,1.52,0.0
1787731021.658,314,14.9,68683,10.9967,1.52,0.0
1787731021.673,315,15.0,68098,10.9888,1.52,0.0
1787731021.688,316,14.9,68579,11.0087,1.52,0.0
1787731021.703,317,15.0,68376,10.9972,1.52,0.0
1787731021.718,318,14.9,68762,10.9721,1.52,0.0
1787731021.733,319,14.9,68779,10.9660,1.52,0.0
1787731021.748,320,14.9,68697,10.9567,1.52,0.0
1787731021.763,321,14.9,68849,10.9638,1.52,0.0
1787731021.778,322,14.9,68748,10.9696,1.52,0.0
1787731021.793,323,14.9,68759,10.9877,1.52,0.0
1787731021.809,324,15.3,66886,10.9982,1.52,0.0
