ts,step,dt_ms,tok_per_s,loss,peak_gib
1787724278.432,377,57.0,17966,11.9547,4.01
1787724278.512,378,77.8,13164,11.9464,4.01
1787724278.592,379,77.6,13192,11.9323,4.01
1787724278.672,380,77.8,13165,11.9475,4.01
1787724278.752,381,77.8,13157,11.9433,4.01
1787724278.801,382,46.6,21982,11.9522,4.01
1787724278.841,383,39.6,25837,11.9421,4.01
1787724278.881,384,39.7,25815,11.9485,4.01
1787724278.921,385,40.3,25422,11.9516,4.01
1787724278.961,386,39.3,26056,11.9511,4.01
1787724279.000,387,39.4,25968,11.9570,4.01
1787724279.041,388,40.3,25440,11.9379,4.01
1787724279.080,389,39.5,25939,11.9503,4.01
1787724279.120,390,39.6,25891,11.9421,4.01
1787724279.160,391,40.0,25616,11.9417,4.01
1787724279.200,392,39.5,25916,11.9420,4.01
1787724279.240,393,39.7,25825,11.9454,4.01
1787724279.280,394,40.0,25570,11.9474,4.01
1787724279.321,395,40.2,25474,11.9417,4.01
1787724279.361,396,40.3,25378,11.9449,4.01
1787724279.401,397,39.6,25842,11.9489,4.01
1787724279.440,398,39.1,26167,11.9383,4.01
1787724279.480,399,39.6,25880,11.9490,4.01
1787724279.520,400,39.7,25793,11.9518,4.01
1787724279.560,401,39.6,25847,11.9310,4.01
1787724279.600,402,40.2,25455,11.9474,4.01
1787724279.640,403,39.3,26077,11.9531,4.01
1787724279.679,404,39.4,26004,11.9448,4.01
1787724279.744,405,64.5,15878,11.9430,4.01
1787724279.808,406,62.0,16521,11.9439,4.01
1787724279.848,407,39.6,25858,11.9490,4.01
1787724279.887,408,39.1,26165,12.0508,4.01
1787724279.944,409,56.6,18086,11.9903,4.01
1787724280.018,410,71.5,14318,11.9858,4.01
1787724280.090,411,69.9,14658,11.9582,4.01
1787724280.138,412,45.8,22340,11.9659,4.01
1787724280.175,413,36.3,28207,11.9695,4.01
1787724280.211,414,36.6,28006,11.9610,4.01
1787724280.248,415,36.3,28181,11.9537,4.01
1787724280.284,416,36.3,28212,11.9609,4.01
1787724280.321,417,36.4,28165,11.9508,4.01
1787724280.357,418,36.3,28200,11.9628,4.01
1787724280.394,419,36.3,28199,11.9544,4.01
1787724280.430,420,36.4,28152,11.9572,4.01
1787724280.467,421,36.3,28203,11.9573,4.01
1787724280.503,422,36.3,28222,11.9510,4.01
1787724280.539,423,36.3,28211,11.9442,4.01
1787724280.576,424,36.3,28181,11.9581,4.01
1787724280.612,425,36.4,28162,11.9498,4.01
1787724280.649,426,36.4,28120,11.9487,4.01
1787724280.685,427,36.3,28183,11.9557,4.01
1787724280.722,428,36.3,28176,11.9356,4.01
1787724280.758,429,36.3,28222,11.9380,4.01
1787724280.795,430,36.4,28156,11.9523,4.01
1787724280.831,431,36.3,28182,11.9500,4.01
1787724280.868,432,36.3,28194,11.9411,4.01
1787724280.904,433,36.4,28150,11.9375,4.01
1787724280.941,434,36.3,28185,11.9448,4.01
1787724280.977,435,36.3,28210,11.9458,4.01
1787724281.013,436,36.3,28204,11.9487,4.01
1787724281.050,437,36.3,28192,11.9468,4.01
1787724281.086,438,36.4,28149,11.9481,4.01
1787724281.123,439,36.3,28236,11.9534,4.01
1787724281.159,440,36.3,28209,11.9374,4.01
1787724281.196,441,36.3,28198,11.9422,4.01
1787724281.232,442,36.3,28174,11.9392,4.01
1787724281.269,443,36.3,28208,11.9585,4.01
1787724281.305,444,36.3,28198,11.9396,4.01
1787724281.341,445,36.3,28180,11.9420,4.01
1787724281.378,446,36.4,28151,11.9380,4.01
1787724281.414,447,36.3,28195,11.9413,4.01
1787724281.451,448,36.3,28201,11.9486,4.01
1787724281.487,449,36.3,28227,11.9429,4.01
1787724281.524,450,36.3,28173,11.9482,4.01
1787724281.560,451,36.3,28214,11.9316,4.01
1787724281.597,452,36.3,28198,11.9404,4.01
1787724281.633,453,36.3,28227,11.9518,4.01
1787724281.670,454,36.4,28113,11.9474,4.01
1787724281.706,455,36.3,28211,11.9521,4.01
1787724281.742,456,36.3,28177,11.9494,4.01
1787724281.779,457,36.3,28225,11.9520,4.01
1787724281.815,458,36.3,28214,11.9466,4.01
1787724281.852,459,36.4,28134,11.9435,4.01
1787724281.888,460,36.3,28220,11.9509,4.01
1787724281.925,461,36.4,28165,11.9479,4.01
1787724281.961,462,36.3,28174,11.9475,4.01
1787724281.998,463,36.3,28213,11.9339,4.01
1787724282.034,464,36.3,28210,11.9443,4.01
1787724282.070,465,36.3,28189,11.9430,4.01
1787724282.107,466,36.3,28183,11.9334,4.01
1787724282.143,467,36.3,28228,11.9395,4.01
1787724282.180,468,36.3,28206,11.9519,4.01
1787724282.216,469,36.5,28087,11.9404,4.01
1787724282.253,470,36.3,28220,11.9419,4.01
1787724282.289,471,36.3,28189,11.9516,4.01
1787724282.326,472,36.4,28160,11.9379,4.01
1787724282.362,473,36.3,28229,11.9454,4.01
1787724282.399,474,36.3,28216,11.9538,4.01
1787724282.435,475,36.3,28213,11.9327,4.01
1787724282.471,476,36.4,28153,11.9437,4.01
1787724282.508,477,36.3,28223,11.9405,4.01
1787724282.544,478,36.3,28183,11.9371,4.01
1787724282.581,479,36.3,28217,11.9464,4.01
1787724282.617,480,36.3,28199,11.9498,4.01
1787724282.654,481,36.4,28142,11.9380,4.01
1787724282.690,482,36.4,28164,11.9433,4.01
1787724282.727,483,36.3,28207,11.9410,4.01
1787724282.763,484,36.3,28208,11.9408,4.01
1787724282.800,485,36.4,28141,11.9494,4.01
1787724282.836,486,36.3,28211,11.9460,4.01
1787724282.872,487,36.3,28203,11.9559,4.01
1787724282.909,488,36.3,28180,11.9424,4.01
1787724282.945,489,36.4,28161,11.9500,4.01
1787724282.982,490,36.3,28223,11.9374,4.01
1787724283.018,491,36.4,28105,11.9483,4.01
1787724283.055,492,36.3,28229,11.9517,4.01
1787724283.091,493,36.3,28200,11.9474,4.01
1787724283.128,494,36.3,28218,11.9412,4.01
1787724283.164,495,36.3,28209,11.9391,4.01
1787724283.200,496,36.2,28249,11.9414,4.01
1787724283.237,497,36.4,28141,11.9512,4.01
1787724283.273,498,36.3,28175,11.9514,4.01
1787724283.310,499,36.4,28147,11.9474,4.01
1787724283.346,500,36.3,28182,11.9493,4.01
1787724283.383,501,36.4,28141,11.9514,4.01
1787724283.419,502,36.3,28211,11.9352,4.01
1787724283.456,503,36.3,28186,11.9442,4.01
1787724283.492,504,36.4,28169,11.9487,4.01
1787724283.529,505,36.3,28177,11.9386,4.01
1787724283.565,506,36.3,28214,11.9464,4.01
1787724283.602,507,36.3,28217,11.9518,4.01
1787724283.638,508,36.3,28180,11.9389,4.01
1787724283.675,509,36.4,28107,11.9536,4.01
1787724283.711,510,36.3,28210,11.9436,4.01
1787724283.748,511,36.4,28122,11.9457,4.01
1787724283.784,512,36.3,28215,11.9478,4.01
1787724283.821,513,36.4,28132,11.9389,4.01
1787724283.857,514,36.3,28185,11.9424,4.01
1787724283.893,515,36.3,28216,11.9435,4.01
1787724283.930,516,36.3,28203,11.9444,4.01
1787724283.966,517,36.3,28217,11.9395,4.01
1787724284.003,518,36.4,28147,11.9404,4.01
1787724284.039,519,36.4,28140,11.9437,4.01
1787724284.076,520,36.3,28228,11.9467,4.01
1787724284.112,521,36.3,28213,11.9464,4.01
1787724284.149,522,36.3,28229,11.9467,4.01
1787724284.185,523,36.3,28221,11.9504,4.01
1787724284.222,524,36.5,28071,11.9436,4.01
1787724284.258,525,36.3,28233,11.9489,4.01
1787724284.295,526,36.4,28141,11.9427,4.01
1787724284.331,527,36.3,28203,11.9351,4.01
1787724284.367,528,36.3,28212,11.9344,4.01
