ts,step,dt_ms,tok_per_s,loss,peak_gib
1787724963.049,326,44.8,22847,11.9422,4.01
1787724963.238,327,53.7,19068,11.9386,4.01
1787724963.448,328,48.9,20939,11.9341,4.01
1787724963.675,329,77.7,13181,11.9413,4.01
1787724963.949,330,40.5,25302,11.9457,4.01
1787724964.113,331,42.3,24182,11.9366,4.01
1787724964.291,332,50.3,20341,11.9447,4.01
1787724964.483,333,40.2,25483,11.9609,4.01
1787724964.646,334,42.0,24383,11.9452,4.01
1787724964.845,335,71.1,14398,11.9408,4.01
1787724965.096,336,36.8,27813,11.9475,4.01
1787724965.243,337,36.6,28011,11.9431,4.01
1787724965.390,338,36.8,27808,11.9464,4.01
1787724965.537,339,36.7,27881,11.9521,4.01
1787724965.726,340,77.7,13182,11.9472,4.01
1787724966.000,341,40.1,25568,11.9523,4.01
1787724966.200,342,77.7,13177,11.9413,4.01
1787724966.470,343,37.1,27565,11.9496,4.01
1787724966.620,344,37.1,27604,11.9542,4.01
1787724966.768,345,37.1,27613,11.9575,4.01
1787724966.917,346,36.9,27730,11.9486,4.01
1787724967.065,347,37.1,27607,11.9468,4.01
1787724967.215,348,37.2,27532,11.9437,4.01
1787724967.364,349,36.9,27717,11.9527,4.01
1787724967.512,350,36.9,27758,11.9462,4.01
1787724967.660,351,37.0,27654,11.9388,4.01
1787724967.809,352,37.5,27278,11.9551,4.01
1787724967.961,353,38.7,26443,11.9491,4.01
1787724968.116,354,38.3,26766,11.9536,4.01
1787724968.270,355,38.8,26398,11.9498,4.01
1787724968.425,356,38.1,26844,11.9430,4.01
1787724968.576,357,36.7,27935,11.9466,4.01
1787724968.723,358,36.7,27903,11.9517,4.01
1787724968.870,359,36.7,27876,11.9540,4.01
1787724969.018,360,37.2,27531,11.9469,4.01
1787724969.211,361,79.3,12920,11.9457,4.01
1787724969.492,362,42.1,24325,11.9507,4.01
1787724969.698,363,77.7,13180,11.9386,4.01
1787724969.974,364,41.9,24461,11.9516,4.01
1787724970.138,365,37.9,26993,11.9498,4.01
1787724970.289,366,36.9,27748,11.9474,4.01
1787724970.437,367,37.1,27576,11.9546,4.01
1787724970.589,368,40.2,25485,11.9452,4.01
1787724970.748,369,38.4,26676,11.9482,4.01
1787724970.904,370,40.1,25524,11.9532,4.01
1787724971.065,371,40.2,25444,11.9452,4.01
1787724971.224,372,37.7,27133,11.9471,4.01
1787724971.374,373,37.2,27551,11.9531,4.01
1787724971.523,374,36.9,27775,11.9459,4.01
1787724971.670,375,36.6,27990,11.9453,4.01
1787724971.825,376,43.7,23414,11.9459,4.01
1787724971.999,377,43.1,23738,11.9554,4.01
1787724972.177,378,47.8,21429,11.9467,4.01
1787724972.400,379,77.6,13189,11.9325,4.01
1787724972.674,380,41.2,24854,11.9490,4.01
1787724972.841,381,42.4,24176,11.9448,4.01
1787724973.007,382,38.6,26544,11.9508,4.01
1787724973.160,383,37.1,27615,11.9420,4.01
1787724973.308,384,36.9,27723,11.9474,4.01
1787724973.456,385,36.7,27918,11.9533,4.01
1787724973.604,386,37.0,27694,11.9519,4.01
1787724973.752,387,37.1,27596,11.9586,4.01
1787724973.901,388,37.0,27657,11.9377,4.01
1787724974.049,389,37.0,27672,11.9495,4.01
1787724974.197,390,36.8,27827,11.9414,4.01
1787724974.345,391,37.0,27646,11.9416,4.01
1787724974.493,392,36.8,27806,11.9421,4.01
1787724974.684,393,77.7,13175,11.9462,4.01
1787724974.962,394,43.1,23749,11.9473,4.01
1787724975.173,395,79.9,12817,11.9409,4.01
1787724975.451,396,37.2,27491,11.9444,4.01
1787724975.599,397,36.9,27763,11.9492,4.01
1787724975.748,398,37.0,27645,11.9391,4.01
1787724975.896,399,36.9,27721,11.9507,4.01
1787724976.044,400,37.2,27551,11.9517,4.01
1787724976.193,401,37.1,27579,11.9313,4.01
1787724976.342,402,37.1,27567,11.9482,4.01
1787724976.491,403,37.0,27692,11.9542,4.01
1787724976.640,404,37.2,27515,11.9449,4.01
1787724976.789,405,37.6,27252,11.9426,4.01
1787724976.940,406,38.0,26960,11.9445,4.01
1787724977.093,407,38.0,26978,11.9465,4.01
1787724977.245,408,38.0,26954,11.9534,4.01
1787724977.398,409,38.1,26877,11.9464,4.01
1787724977.549,410,36.8,27856,11.9522,4.01
1787724977.696,411,36.8,27854,11.9555,4.01
1787724977.844,412,37.0,27697,11.9525,4.01
1787724978.003,413,47.6,21493,11.9533,4.01
1787724978.192,414,45.4,22568,11.9455,4.01
1787724978.406,415,77.6,13197,11.9444,4.01
1787724978.692,416,50.8,20173,11.9611,4.01
1787724978.881,417,37.1,27624,11.9492,4.01
1787724979.030,418,36.8,27829,11.9447,4.01
1787724979.178,419,37.2,27560,11.9440,4.01
1787724979.328,420,38.3,26706,11.9438,4.01
1787724979.484,421,40.7,25186,11.9495,4.01
1787724979.647,422,41.0,24970,11.9478,4.01
